title,price,image_link
"
Сотовый телефон Samsung Galaxy A33 5G 6/128GB голубой
","
23750 сом
",/images/product/106579/1652691866_03439300.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB красный
","

 89790 сом
-1%

88740 сом
",/images/product/112979/1667069975_61809600.jpg
"
Сотовый телефон Samsung Galaxy S22 8/128GB бежевый
","
55040 сом
",/images/product/105300/1649754473_41211500.jpg
"
Сотовый телефон Samsung Galaxy A33 5G 6/128GB персиковый
","
23750 сом
",/images/product/106580/1652691995_19543500.jpg
"
Сотовый телефон Samsung Galaxy A53 5G 6/128GB черный
","
29190 сом
",/images/product/105301/1649760257_29490300.jpg
"
Сотовый телефон Samsung Galaxy A33 5G 6/128GB белый
","
23750 сом
",/images/product/106581/1652692112_53592600.jpg
"
Сотовый телефон Xiaomi 12T 8/128GB черный
","
34660 сом
",/images/product/111957/1665144497_27894700.jpg
"
Сотовый телефон Samsung Galaxy A53 5G 6/128GB белый
","
29190 сом
",/images/product/105302/1649760394_16626600.jpg
"
Сотовый телефон Xiaomi 12T 8/128GB голубой
","
34490 сом
",/images/product/111958/1665144514_76168200.jpg
"
Сотовый телефон Samsung Galaxy A53 5G 6/128GB персиковый
","
29190 сом
",/images/product/105303/1649760623_66398000.jpg
"
Сотовый телефон Xiaomi 12T 8/256GB черный
","
36460 сом
",/images/product/111959/1665144844_02032800.jpg
"
Сотовый телефон Samsung Galaxy A04 4/64GB черный
","
10950 сом
",/images/product/112983/1667077607_60071300.jpg
"
Сотовый телефон Samsung Galaxy A53 5G 6/128GB голубой
","
29190 сом
",/images/product/105304/1649760852_08627000.jpg
"
Сотовый телефон Xiaomi 12T 8/256GB голубой
","
36280 сом
",/images/product/111960/1665144967_82473500.jpg
"
Сотовый телефон Samsung Galaxy A04 4/64GB белый
","
10950 сом
",/images/product/112984/1667077845_67471400.jpg
"
Сотовый телефон Samsung Galaxy A53 5G 8/128GB черный
","
29990 сом
",/images/product/105305/1649761049_10768900.jpg
"
Сотовый телефон Xiaomi 12T Pro 8/256GB черный
","

 52310 сом
-2%

51420 сом
",/images/product/111961/1665146065_57260800.jpg
"
Сотовый телефон Samsung Galaxy A04 4/64GB зеленый
","
10950 сом
",/images/product/112985/1667077850_81511100.jpg
"
Сотовый телефон Honor 9C 4/64GB голубой
","
14390 сом
",/images/product/84826/1602184323_92792200.jpg
"
Сотовый телефон Samsung Galaxy A53 5G 8/128GB белый
","
29990 сом
",/images/product/105306/1649761180_54346900.jpg
"
Сотовый телефон Xiaomi 12T Pro 8/256GB голубой
","

 52310 сом
-2%

51420 сом
",/images/product/111962/1665146166_33421300.jpg
"
Сотовый телефон Samsung Galaxy A04 4/64GB медный
","
10950 сом
",/images/product/112986/1667077855_49828600.jpg
"
Сотовый телефон Honor 9C 4/64GB черный
","
14390 сом
",/images/product/84827/1602184383_76638300.jpg
"
Сотовый телефон Samsung Galaxy A53 5G 8/128GB персиковый
","
29990 сом
",/images/product/105307/1649761387_15221700.jpg
"
Сотовый телефон Samsung Galaxy A04s 4/64GB черный
","
12350 сом
",/images/product/112987/1667078708_09449600.jpg
"
Сотовый телефон Samsung A52s 5G 6/128GB черный
","
27540 сом
",/images/product/115803/1672998577_23245600.jpg
"
Сотовый телефон Samsung Galaxy A53 5G 8/128GB голубой
","
29990 сом
",/images/product/105308/1649761535_61343300.jpg
"
Сотовый телефон Samsung Galaxy A13 (SM-A137) 4/64GB черный
","
13330 сом
",/images/product/111964/1665148664_90143300.jpg
"
Сотовый телефон Samsung Galaxy A04s 4/64GB белый
","
12350 сом
",/images/product/112988/1667078711_58657400.jpg
"
Сотовый телефон Samsung Galaxy A04s 4/64GB зеленый
","
12350 сом
",/images/product/112989/1667078714_93759800.jpg
"
Сотовый телефон Samsung Galaxy A04s 4/64GB медный
","
12350 сом
",/images/product/112990/1667078719_97190500.jpg
"
Сотовый телефон Apple iPhone 13 Pro 128GB зеленый
","
100110 сом
",/images/product/104799/1648276603_98820600.png
"
Сотовый телефон Xiaomi Redmi 10 2022 6/128GB голубой
","
14460 сом
",/images/product/109151/1658828496_75707400.jpg
"
Сотовый телефон Samsung Galaxy A04s 4/128GB черный
","
13960 сом
",/images/product/112991/1667078809_64921800.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 128GB зеленый
","

 105950 сом
-2%

104160 сом
",/images/product/104800/1648277074_04112200.png
"
Сотовый телефон Xiaomi Redmi 10 2022 6/128GB белый
","
14460 сом
",/images/product/109152/1658828510_13282400.jpg
"
Сотовый телефон Samsung Galaxy A04s 4/128GB белый
","
13960 сом
",/images/product/112992/1667079728_21774400.jpg
"
Сотовый телефон Samsung Galaxy A04s 4/128GB зеленый
","
13960 сом
",/images/product/112993/1667079731_69110300.jpg
"
Сотовый телефон Samsung Galaxy A04s 4/128GB медный
","
13960 сом
",/images/product/112994/1667079735_75656600.jpg
"
Сотовый телефон Xiaomi Redmi 10C 4/128GB серый
","
12790 сом
",/images/product/104803/1648310638_87270900.jpg
"
Сотовый телефон Xiaomi Redmi 10C 4/128GB синий
","
12790 сом
",/images/product/104804/1648310652_05982100.jpg
"
Сотовый телефон Xiaomi Redmi 10C 4/128GB зеленый
","
12790 сом
",/images/product/104805/1648310666_54418900.jpg
"
Сотовый телефон Xiaomi Redmi 10 2022 4/128GB голубой
","
13600 сом
",/images/product/106854/1653145152_17687600.jpg
"
Сотовый телефон Xiaomi 12 8/256GB серый
","
47810 сом
",/images/product/106855/1653146670_82874800.jpg
"
Сотовый телефон Xiaomi 12 8/256GB фиолетовый
","
47810 сом
",/images/product/106856/1653146707_49934400.jpg
"
Сотовый телефон Apple iPhone 13 128GB красный
","
66240 сом
",/images/product/97897/1631808085_26488000.jpg
"
Сотовый телефон Xiaomi 12 8/256GB зеленый
","
47810 сом
",/images/product/106857/1653146808_23102000.jpg
"
Сотовый телефон Xiaomi Redmi Note 10S 6/64GB черный
","

 13960 сом
-2%

13700 сом
",/images/product/93290/1622501264_72553400.jpg
